epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,35966.1,1.36923,1.14502,1.29599,0.63218,0.55717,0.58706,0.32443,1.70556,1.51134,1.5133,0.001585,0.001585,0.001585
87,36394.9,1.35884,1.13674,1.2922,0.62363,0.55675,0.58657,0.32288,1.70692,1.51199,1.51385,0.001486,0.001486,0.001486
88,36803.5,1.34991,1.11661,1.28517,0.61698,0.55978,0.58655,0.32306,1.70805,1.51164,1.51417,0.001387,0.001387,0.001387
89,37212.4,1.34893,1.12274,1.28188,0.61657,0.56121,0.5865,0.32295,1.70974,1.51236,1.51489,0.001288,0.001288,0.001288
90,37619.2,1.33488,1.10428,1.27425,0.61718,0.56599,0.58681,0.32313,1.71158,1.51203,1.51596,0.001189,0.001189,0.001189
91,38112.2,1.31135,0.99421,1.29176,0.61684,0.56752,0.58695,0.32295,1.71324,1.51277,1.5165,0.00109,0.00109,0.00109
92,38520.6,1.29681,0.9718,1.28108,0.61715,0.56959,0.5865,0.32289,1.71478,1.5137,1.51762,0.000991,0.000991,0.000991
93,38927.9,1.28372,0.95751,1.2755,0.61608,0.57024,0.58598,0.32299,1.71709,1.51469,1.51923,0.000892,0.000892,0.000892
94,39334.2,1.27328,0.93772,1.26693,0.61814,0.56704,0.58531,0.32252,1.71937,1.5157,1.52062,0.000793,0.000793,0.000793
95,39742.4,1.26108,0.9295,1.26156,0.61774,0.56832,0.58365,0.32214,1.72137,1.51687,1.52176,0.000694,0.000694,0.000694
96,40148.5,1.25177,0.91829,1.2555,0.6159,0.56753,0.58376,0.322,1.72363,1.51788,1.52306,0.000595,0.000595,0.000595
97,40554.7,1.24528,0.90212,1.25034,0.61326,0.56898,0.58381,0.32193,1.72616,1.51897,1.525,0.000496,0.000496,0.000496
98,40962.9,1.23936,0.89188,1.2502,0.61205,0.5701,0.58368,0.32209,1.72819,1.52064,1.5264,0.000397,0.000397,0.000397
99,41369.3,1.22692,0.88357,1.24151,0.60943,0.57154,0.5833,0.32095,1.73074,1.52149,1.52832,0.000298,0.000298,0.000298
100,41774.9,1.22335,0.87795,1.24183,0.60487,0.57759,0.58609,0.32215,1.73292,1.52326,1.53005,0.000199,0.000199,0.000199
